都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011037,0170403059,北海道,札幌市東区,グリンケア福祉用具貸与事業所,グリンケアフクシヨウグタイヨジギョウショ,福祉用具貸与,札幌市東区本町1条5丁目2-8エクセルフローラ101,エクセルフローラ101,43.077329857824290,141.388525312752930,011-215-8181,050-3488-8841,6430003003934,合同会社グリンケア札幌,0170403059,"平日,土曜日,日曜日,祝日",,,http://2525gc.sun.bindcloud.jp,,,,
011037,0170200901,北海道,札幌市東区,パナソニックエイジフリーショップ札幌東,パナソニックエイジフリーショップサッポロヒガシ,福祉用具貸与,北海道札幌市東区北７条東６丁目18-21,,43.071658800000000,141.362705799999960,011-733-2215,011-731-6104,7430001014940,北ガスフレアスト北株式会社,0170200901,"平日,土曜日",社内規定による年末・年始、及び夏季休暇あり,,http://www.net-kaigo.com,,,,
011037,0170205025,北海道,札幌市東区,有限会社ティージー・サポート,ユウゲンカイシャティージー・サポート,福祉用具貸与,北海道札幌市東区北２０条東２１丁目１番１７号,,43.087513100000000,141.384172499999980,011-781-2275,011-781-2275,9430002038425,有限会社ティージー・サポート,0170205025,平日,,,,,,,
011037,0170200109,北海道,札幌市東区,株式会社エンパイアーホームヘルスケア事業部札幌営業所,カブシキガイシャエンパイアーホームヘルスケアジギョウブサッポロエイギョウショ,福祉用具貸与,札幌市東区東苗穂5条2丁目7番14号,,43.089905200000000,141.408944900000050,011-786-7474,011-786-7878,8430001002606,株式会社エンパイアー,0170200109,平日,-,,,,,,
011045,0170503072,北海道,札幌市白石区,株式会社ハーティワークス,カブシキガイシャ　ハーティワークス,福祉用具貸与,札幌市白石区流通センター１丁目７番５４号,,43.037726100000000,141.443144800000030,011-863-8010,011-863-8013,6430001029898,株式会社ハーティワークス,0170503072,"平日,土曜日",,,http://www.keijinkai.com/heartyworks/,,,,
011045,0170514012,北海道,札幌市白石区,パナソニックエイジフリーショップ白石,パナソニックエイジフリーショップシロイシ,福祉用具貸与,北海道札幌市白石区流通センター7丁目8-1,,43.039023800000000,141.453127700000000,011-890-0882,011-891-1055,1430001080765,エミヤライフケア株式会社,0170514012,平日,,,https://www.emiya.com/agefree/,,,,
011045,0170508758,北海道,札幌市白石区,ユニケア,ユニケア,福祉用具貸与,北海道札幌市白石区米里一条３丁目２番２５号,,43.074555400000000,141.418471200000000,011-376-5431,011-376-5432,9430005011180,一般社団法人いしかりユニバーサルネット,0170508758,平日,定休日等の緊急時は、休日電話当番の相談員が電話サポートを実施しております。,,https://i-universalnet.com/,,,,
011045,0170516017,北海道,札幌市白石区,CARECREW,ケアクルー,福祉用具貸与,札幌市白石区東札幌6条4丁目1-5TRINITE’A2,TRINITE’A2,43.052788500000010,141.392816300000000,011-598-1612,:011-598-1613,4430001091371,株式会社ＣＡＲＥＣＲＥＷ　ＮＥＸＴＩＮＮＯＶＡＴＩＯＮ,0170516017,平日,土・日曜日・祝日　緊急時対応致します。（※時間帯によっては難しい場合もございますのでご了承ください）（改行）緊急時携帯：090-1302-6500,,https://carecrew011.wixsite.com/carecrewsapporo,,,,
011045,0170511695,北海道,札幌市白石区,株式会社ＯＰＴＩＯＮ,カブシキガイシャオプション,福祉用具貸与,北海道札幌市白石区平和通６丁目南３番３号,,43.049286434668105,141.414983505904360,011-876-0784,011-826-6072,5430001069821,株式会社ＯＰＴＩＯＮ,0170511695,"平日,祝日",,,,,,,
011045,0170515753,北海道,札幌市白石区,チーム.サッポロ,チーム.サッポロ,福祉用具貸与,北海道札幌市白石区中央2条2丁目1-442F,2F,43.057553700000010,141.394344500000000,011-876-8230,011-876-8231,5430001090174,株式会社Ｔｅａｍ．Ｋ,0170515753,平日,８/１３～８/１６　及び　１２/２９～１/３　を除く,,,,,,
011045,0170515514,北海道,札幌市白石区,はるのひ,ハルノヒ,福祉用具貸与,北海道札幌市白石区東米里2189-80,,43.086085100000000,141.437477700000000,011-873-0309,011-827-6354,4430001071051,株式会社山田建築,0170515514,平日,,,https://harunohi.adalo.com,,,,
011045,0170510630,北海道,札幌市白石区,ダスキンヘルスレント札幌東ステーション,ダスキンヘルスレントサッポロヒガシステーション,福祉用具貸与,北海道札幌市白石区栄通11丁目3-18,,43.034290185291440,141.416641766270460,011-858-7111,011-858-7112,8430001019600,三和物流サービス株式会社,0170510630,"平日,土曜日",なし,,http://www.sanwa-l.jp,,,,
011053,0170504823,北海道,札幌市豊平区,株式会社北日本メディカル,カブシキカイシャキタニホンメディカル,福祉用具貸与,北海道札幌市豊平区平岸５条１０丁目７－１,,43.031024500000000,141.379317500000070,011-832-5676,011-832-5679,,株式会社北日本メディカル,0170504823,平日,,,http://www.kitamedi.co.jp,,,,
011053,0170104293,北海道,札幌市豊平区,福祉用具事業所くらしさ,フクシヨウグジギョウショクラシサ,福祉用具貸与,北海道札幌市豊平区中の島1条7丁目12-1リーフィール中の島　1F,リーフィール中の島　1F,43.026588312552384,141.356598873626440,011-374-4860,011-374-4861,7430002038781,株式会社元気な介護,0170104293,平日,土・日・年末・年始も電話対応している,,http://genkinakaigo.co.jp/service/rental.htmi,,,,
011053,0170510994,北海道,札幌市豊平区,Carrent札幌,カレントサッポロ,福祉用具貸与,北海道札幌市豊平区美園7条1丁目4-13誉PARC7.1ビル1F,誉PARC7.1ビル1F,43.040969051978390,141.378228577909800,011-832-3331,011-832-3334,6010001165827,株式会社ＰＨＰ,0170510994,"平日,土曜日,日曜日,祝日",,,,,,,
011053,0170515126,北海道,札幌市豊平区,株式会社ヘルスケアコープ,カブシキガイシャヘルスケアコープ,福祉用具貸与,北海道札幌市豊平区月寒中央通7丁目6番20号JA月寒中央ビル6階,JA月寒中央ビル6階,43.030375000000000,141.397140900000000,011-852-5000,011-852-5050,9430001086219,株式会社ヘルスケアコープ,0170515126,平日,,,,,,,
011053,0170513717,北海道,札幌市豊平区,ブリステージ福祉用具貸与事業所,ブリステージフクシヨウグタイヨジギョウショ,福祉用具貸与,北海道札幌市豊平区平岸4条9丁目2-19,,43.032652918198270,141.374110030059400,011-826-6556,011-598-7632,8430001065792,BLISSTAGE株式会社,0170513717,平日,,,http://www.blisstage.jp,,,,
011053,0170508741,北海道,札幌市豊平区,アクテック株式会社,アクテックカブシキガイシャ,福祉用具貸与,札幌市豊平区美園2条3丁目2-25,,43.043526000000000,141.385749799999980,011-811-4137,011-822-5253,5430001000422,アクテック株式会社,0170508741,平日,8月15日及び12月29日～1月3日休日。,,http://www.e-actec.co.jp,,,,
011053,0170511414,北海道,札幌市豊平区,株式会社マルベリーさわやかセンター札幌豊平,カブシキガイシャマルベリーサワヤカセンターサッポロトヨヒラ,福祉用具貸与,北海道札幌市豊平区福住2条10丁目18番1号,,43.003336300000000,141.391470900000060,011-855-3084,011-855-3087,6430001029386,株式会社マルベリー,0170511414,平日,土曜、日曜、祝祭日の対応はあらかじめ前日までの要望がある場合、対応が可能。,,http://www.mulberry-hokkaido.co.jp,,,,
011053,0170507016,北海道,札幌市豊平区,株式会社サンメディック,カブシキガイシャサンメディック,福祉用具貸与,札幌市豊平区月寒東３条８丁目１番５号瀬野尾ビル１Ｆ,瀬野尾ビル１Ｆ,43.032513800000000,141.404751300000040,011-859-7311,011-859-7312,3440001004779,株式会社サンメディック,0170507016,平日,,,http://www.sunmedic-care.com/,,,,
011053,0170501449,北海道,札幌市豊平区,株式会社ノアコンツェル福祉用具貸与事業所,カブシキガイシャノアコンツェルフクシヨウグタイヨジギョウショ,福祉用具貸与,札幌市豊平区平岸7条14丁目1-32,,43.024012815417940,141.381770296392460,011-813-9334,011-813-9335,8430001009015,株式会社ノアコンツェル,0170501449,平日,-,,http://www.noah-konzer.com/,,,,
011053,0170515068,北海道,札幌市豊平区,ライブラリ札幌福祉用具貸与事業所,ライブラリサッポロフクシヨウグタイヨジギョウショ,福祉用具貸与,札幌市豊平区月寒東４条１５丁目２番１８号東成企興ビル１階右店舗,東成企興ビル１階右店舗,43.026073232296760,141.420330121002420,011-807-4307,011-807-4308,4430001081967,株式会社リビングプラットフォームケア,0170515068,平日,,,https://www.living-platform.com,,,,
011053,0170514533,北海道,札幌市豊平区,ＤＣＭ西岡店,ディシーエムニシオカテン,福祉用具貸与,札幌市豊平区西岡1条8丁目8番1号,,43.009509900000000,141.379416300000000,011－858－1717,011－858－1730,7010701039115,ＤＣＭ株式会社,0170514533,平日,,,https://www.dcm-hc.co.jp/homac/,,,,
011061,0170515001,北海道,札幌市南区,福祉用具　笑楽　札幌,フクシヨウグワラクサッポロ,福祉用具貸与,北海道札幌市南区石山東7丁目１番10号,,42.954967100000000,141.343475800000000,011-592-3366,011-592-3386,5140001037477,株式会社ビオネスト,0170515001,平日,,,https://www.bihonest.com/,,,,
011070,0170404545,北海道,札幌市西区,福祉用具の福太郎,フクシヨウグノフクタロウ,福祉用具貸与,札幌市西区二十四軒３条５丁目４－２０ＴＫグレース,ＴＫグレース,43.070840300000000,141.309040999999980,011-688-5761,011-688-5763,6430001070902,株式会社トップギア,0170404545,平日,,,,,,,
011070,0170200174,北海道,札幌市西区,ニック株式会社札幌営業所,ニックカブシキガイシャサッポロエイギョウショ,福祉用具貸与,北海道札幌市西区西野３条９丁目１０番４０号,,43.081231900000000,141.270090699999970,011-665-8877,011-665-8699,1180001015219,ニック株式会社,0170200174,"平日,土曜日",,,http://www.nick-corp.com/,,,,
011070,0170400584,北海道,札幌市西区,株式会社　特殊衣料,カブシキガイシャ　トクシュイリョウ,福祉用具貸与,北海道札幌市西区発寒１４条１４丁目２番４０号,,43.109517900000000,141.280091299999980,011-663-0761,011-663-0955,9430001011754,株式会社　特殊衣料,0170400584,平日,なし,,http://www.tomoni.co.jp,,,,
011070,0170404438,北海道,札幌市西区,福祉用具レンタル販売事業所　アクア,フクシヨウグレンタルハンバイジギョウショ　アクア,福祉用具貸与,北海道札幌市八軒１０条東４丁目2-18アクア八軒東ビル,アクア八軒東ビル,43.087268669298700,141.325822492165600,011-738-2985,011-738-7082,1430001046238,株式会社アクア,0170404438,平日,,,http://aquagroup-sapporo.com/,,,,
011070,0170405526,北海道,札幌市西区,ＤＣＭ発寒追分通店,ディシーエムハッサムオイワケドオリテン,福祉用具貸与,北海道札幌市西区発寒9条14丁目516番地210,,43.102103199999990,141.271071199999970,011-669-3605,011-669-3609,7010701039115,ＤＣＭ株式会社,0170405526,平日,,,https://www.dcm-hc.co.jp/homac/,,,,
011088,0170505549,北海道,札幌市厚別区,株式会社福祉ドット・コム,カブシキカイシャフクシドット・コム,福祉用具貸与,札幌市厚別区厚別西2条4丁目2-10ｱｸﾃｨﾌﾞﾌﾟﾗｻﾞ厚別西　2階F号室,ｱｸﾃｨﾌﾞﾌﾟﾗｻﾞ厚別西　2階F号室,43.049250293661510,141.465315256978900,011-892-7518,011-892-7520,,株式会社　福祉ドット・コム,0170505549,"平日,土曜日",,,,,,,
011088,0170512875,北海道,札幌市厚別区,ハーティＫ,ハーティケイ,福祉用具貸与,北海道札幌市厚別区厚別西5条1丁目10番5号,,43.052768200000000,141.452786400000040,090-3117-2617,011-894-2466,1430003008789,合名会社　ハーティＫ,0170512875,"平日,土曜日",,,kobayashi@heartyk.com,,,,
011088,0170514541,北海道,札幌市厚別区,ＤＣＭ厚別東店,ディシ－エムアツベツヒガシテン,福祉用具貸与,札幌市厚別区厚別東５条１丁目２番10号,,43.045916699999985,141.475514600000030,011-809-5008,011-809-5018,7010701039115,ＤＣＭ株式会社,0170514541,平日,,,https://www.dcm-hc.co.jp/homac/,,,,
011088,0170515548,北海道,札幌市厚別区,ニック株式会社　札幌東営業所,ニックカブシキカイシャサッポロヒガシエイギョウショ,福祉用具貸与,北海道札幌市厚別区大谷地東2-3-30松下ビル1階,松下ビル1階,43.029518700000000,141.452581500000000,011-804-0070,011-804-0071,1180001015219,ニック株式会社,0170515548,"平日,土曜日",,,https://www.nick-corp.com/,,,,
011088,0170515662,北海道,札幌市厚別区,ファミリー・ホスピス福祉用具事業所,ファミリー・ホスピスフクシヨウグジギョウショ,福祉用具貸与,厚別西5条2丁目18-22ファミリー・ホスピスノーザリー厚別西,ファミリー・ホスピスノーザリー厚別西,43.052242500000000,141.458128000000000,011-890-5300,011-890-5305,7021001046932,ファミリー・ホスピス株式会社,0170515662,平日,緊急時は電話等により対応,,,,,,
011088,0170504880,北海道,札幌市厚別区,弁慶さっぽろ,ベンケイサッポロ,福祉用具貸与,北海道札幌市厚別区大谷地西５丁目２－５パスウェイ６７７弐番館,パスウェイ６７７弐番館,43.019169867752530,141.454094491957140,011-891-5597,011-891-5899,9430001035778,株式会社ウィル,0170504880,"平日,土曜日",,,http://www.fc-benkei.jp/sapporo.will8/,,,,
011088,0170515555,北海道,札幌市厚別区,ムラタ,ムラタ,福祉用具貸与,青葉町9丁目2番7号,,43.025211800000010,141.478398300000000,011-807-5822,011-807-5823,1430001069809,株式会社ハピネス,0170515555,平日,,,,,,,
011088,0170512255,北海道,札幌市厚別区,花福,ハナフク,福祉用具貸与,北海道札幌市厚別区厚別中央３条６丁目３番１０号,,43.044031700000000,141.473050200000000,011-802-5757,011-802-5758,8430001072392,株式会社悠智,0170512255,平日,,,,,,,
011088,0170500409,北海道,札幌市厚別区,札幌福祉医療器株式会社,サッポロフクシイリョウキカブシキガイシャ,福祉用具貸与,北海道札幌市厚別区もみじ台南6丁目1-5,,43.025003900000000,141.500954200000020,011-897-7074,011-897-9779,2430001020299,札幌福祉医療器株式会社,0170500409,"平日,土曜日",土曜の休日に変更がある月もあり。,,http://www.swmd.co.jp/,,,,
011088,0170511554,北海道,札幌市厚別区,有限会社優コーポレーション,ユウゲンガイシャユウコーポレーション,福祉用具貸与,北海道札幌市厚別区厚別西3条1丁目1番35号,,43.047231100000000,141.454107100000000,011-890-6222,011-215-5775,3430002035972,有限会社優コーポレーション,0170511554,平日,休日については、事前連絡がある場合相談に応じさせていただきます。,,http://www.shoureikan.jp/u-cp/,,,,
011088,0170513139,北海道,札幌市厚別区,株式会社　土屋ホームトピア　福祉用具貸与・販売事業所「RAKUKAI」,カブシキガイシャ　ツチヤホームトピア　フクシヨウグタイヨ　ハンバイジギョウショ　ラクカイ,福祉用具貸与,北海道札幌市厚別区厚別南１丁目１８－１,,43.027700000000000,141.464324000000030,011-896-3310,011-896-3031,5430001014538,株式会社　土屋ホームトピア,0170513139,平日,,,https://www.hometopia.jp/,,,,
011096,0170405641,北海道,札幌市手稲区,福祉用具家コノイエ札幌,フクシヨウグヤコノイエサッポロ,福祉用具貸与,札幌市手稲区前田1条12丁目2-48VillaClasse手稲北口202,VillaClasse手稲北口202,43.122365799999980,141.245325700000000,011-676-7326,011-676-7926,1430001084345,株式会社リラノマーケティング,0170405641,平日,,,https://cono-ie.com/,,,,
011096,0170403521,北海道,札幌市手稲区,株式会社フロンティア札幌営業所,カブシキガイシャフロンティアサッポロエイギョウショ,福祉用具貸与,北海道札幌市手稲区曙2条4丁目3-62,,43.131400400000000,141.227224400000070,011-699-8681,011-699-8682,6120001120886,株式会社フロンティア,0170403521,"平日,土曜日",特になし,,http://www.frontier-ph.com/homecare/,,,,
011100,0170514467,北海道,札幌市清田区,鈴木内科福祉用具貸与販売事業所,スズキナイカフクシヨウグタイヨハンバイジギョウショ,福祉用具貸与,札幌市清田区清田4条2丁目10-25,,42.997641200000000,141.430830100000000,011-882-5608,011-885-2720,2430005001782,医療法人社団鈴木内科医院,0170514467,"平日,土曜日",,,https://www.suzukinaika.or.jp/,,,,
011100,0170516009,北海道,札幌市清田区,パナソニックエイジフリーショップ札幌北野,パナソニックエイジフリーショップサッポロキタノ,福祉用具貸与,北海道札幌市清田区北野3条2丁目13番65号,,43.012094000000000,141.434371100000000,011‐885‐5751,011‐885‐5752,5120001158234,パナソニックエイジフリー株式会社,0170516009,"平日,土曜日",営業時間以外においても利用者の状況等により相談に応じます,,https://panasonic.co.jp/paf/,,,,
011100,0170516041,北海道,札幌市清田区,ケアセンターがじゅまる札幌,ケアセンターガジュマルサッポロ,福祉用具貸与,札幌市清田区北野4条5丁目4－25アクアトピア北野　202号室,アクアトピア北野　202号室,43.012813800000000,141.447254500000000,070-6473-0066,011-792-8765,4430003016203,合同会社がじゅまるかんぱにー,0170516041,平日,,,,,,,
011100,0170501688,北海道,札幌市清田区,ダスキンヘルスレント札幌南ステーション,ダスキンヘルスレント　サッポロミナミ　ステーション,福祉用具貸与,北海道札幌市清田区平岡５条１丁目１－７,,43.009293000000000,141.448323800000020,011-887-5254,011-885-5093,8430001019600,三和物流サービス株式会社,0170501688,平日,なし,,https://sanwa-l.jp,,,,
011100,0170515480,北海道,札幌市清田区,株式会社フロンティア　札幌東営業所,カブシキカイシャフロンティア　サッポロヒガシエイギョウショ,福祉用具貸与,北海道札幌市清田区平岡7条3丁目18-10,,43.010483099999990,141.457393500000000,011-889-2131,011-881-0120,6120001120886,株式会社フロンティア,0170515480,"平日,土曜日",特になし,,https://www.frontier-ph.com/,,,,
012025,0171401169,北海道,函館市,テーオー・ケアサービス,テーオー・ケアサービス,福祉用具貸与,函館市北浜町５番１０号ハートＴＯハート北浜,ハートＴＯハート北浜,41.797025452115910,140.727464665081780,0138-44-1110,0138-44-5777,,株式会社テーオー小笠原,0171401169,"平日,土曜日,日曜日,祝日",なし,,,,,,
012025,0171404650,北海道,函館市,ダスキンヘルスレント函館ステーション,ダスキンヘルスレントハコダテステーション,福祉用具貸与,北海道函館市石川町180-4,,41.838017144016850,140.737720950463880,0138-82-8080,0138-82-8181,,株式会社eeステーション,0171404650,"平日,土曜日",,,https://healthrent.duskin.jp/,,,,
012025,0171401466,北海道,函館市,介護用品のぱれっと,カイゴヨウヒンノパレット,福祉用具貸与,北海道函館市宮前町３番６号,,41.787514100000000,140.738164500000040,0138-87-0420,0138-87-0561,,有限会社ライフアート,0171401466,"平日,土曜日,祝日",,,http://lifeart.biz/,,,,
